instance 1
"objective; 309.0"
x[0, 4];1
x[0, 5];1
x[0, 6];1
x[0, 7];1
x[1, 3];1
x[2, 15];1
x[3, 8];1
x[4, 11];1
x[5, 9];1
x[6, 1];1
x[7, 10];1
x[8, 14];1
x[9, 15];1
x[10, 15];1
x[11, 13];1
x[12, 15];1
x[13, 12];1
x[14, 2];1
w[0, 4];2
w[0, 5];2
w[0, 6];2
w[0, 7];2
w[1, 3];2
w[3, 8];2
w[4, 9];2
w[5, 10];2
w[6, 11];2
w[7, 12];2
w[8, 14];2
w[9, 15];2
w[10, 15];2
w[11, 13];2
w[12, 15];2
v[0, 4];1
v[0, 5];1
v[0, 6];1
v[0, 7];1
v[1, 3];1
v[3, 8];1
v[4, 9];1
v[5, 10];1
v[6, 11];1
v[7, 12];1
v[8, 14];1
v[9, 15];1
v[10, 15];1
v[11, 13];1
v[12, 15];1
y[3, 2];1
y[4, 2];1
y[5, 2];1
y[6, 2];1
y[7, 2];1
service_time[3];145
service_time[4];190
service_time[5];235
service_time[6];125
service_time[7];225
start_service[1];48
start_service[2];309
start_service[3];106
start_service[4];39
start_service[5];35
start_service[6];24
start_service[7];26
start_service[8];251
start_service[9];229
start_service[10];270
start_service[11];149
start_service[12];251
start_service[13];173
start_service[14];309
start_service[15];309
